# wavenumber,absorbance
2000.001,0.079
2000.031,0.079
2000.061,0.079
2000.091,0.079
2000.121,0.079
2000.151,0.079
2000.182,0.079
2000.212,0.079
2000.242,0.079
2000.272,0.079
2000.302,0.079
2000.332,0.079
2000.362,0.079
2000.392,0.079
2000.423,0.079
2000.453,0.079
2000.483,0.079
2000.513,0.079
2000.543,0.079
2000.573,0.079
2000.603,0.079
2000.634,0.079
2000.664,0.079
2000.694,0.079
2000.724,0.079
2000.754,0.079
2000.784,0.079
2000.814,0.079
2000.844,0.079
2000.875,0.079
2000.905,0.079
2000.935,0.079
2000.965,0.079
2000.995,0.079
2001.025,0.079
2001.055,0.079
2001.086,0.079
2001.116,0.079
2001.146,0.079
2001.176,0.079
2001.206,0.079
2001.236,0.079
2001.266,0.079
2001.297,0.079
2001.327,0.079
2001.357,0.079
2001.387,0.079
2001.417,0.079
2001.447,0.079
2001.477,0.079
2001.507,0.079
2001.537,0.079
2001.568,0.079
2001.598,0.079
2001.628,0.079
2001.658,0.079
2001.688,0.079
2001.718,0.078
2001.748,0.078
2001.779,0.079
2001.809,0.079
2001.839,0.079
2001.869,0.079
2001.899,0.079
2001.929,0.079
2001.959,0.079
2001.990,0.079
2002.020,0.079
2002.050,0.079
2002.080,0.079
2002.110,0.079
2002.140,0.079
2002.170,0.079
2002.200,0.079
2002.231,0.079
2002.261,0.079
2002.291,0.079
2002.321,0.079
2002.351,0.079
2002.381,0.079
2002.411,0.079
2002.442,0.079
2002.472,0.079
2002.502,0.079
2002.532,0.079
2002.562,0.079
2002.592,0.079
2002.622,0.079
2002.652,0.078
2002.682,0.079
2002.713,0.079
2002.743,0.079
2002.773,0.079
2002.803,0.079
2002.833,0.079
2002.863,0.079
2002.893,0.078
2002.924,0.078
2002.954,0.078
2002.984,0.078
2003.014,0.078
2003.044,0.078
2003.074,0.078
2003.104,0.078
2003.135,0.078
2003.165,0.079
2003.195,0.079
2003.225,0.079
2003.255,0.079
2003.285,0.079
2003.315,0.079
2003.345,0.080
2003.376,0.080
2003.406,0.081
2003.436,0.081
2003.466,0.081
2003.496,0.082
2003.526,0.082
2003.556,0.082
2003.587,0.082
2003.617,0.082
2003.647,0.081
2003.677,0.081
