# wavenumber,absorbance
2000.784,0.075
2001.749,0.076
2002.713,0.076
2003.677,0.077
2004.641,0.076
2005.605,0.076
2006.570,0.076
2007.534,0.077
2008.498,0.078
2009.462,0.076
2010.427,0.075
2011.391,0.077
2012.355,0.078
2013.319,0.079
2014.284,0.077
2015.248,0.076
2016.212,0.078
2017.176,0.079
2018.141,0.079
2019.105,0.077
2020.069,0.077
2021.033,0.079
2021.997,0.079
2022.962,0.081
2023.926,0.079
2024.890,0.080
2025.854,0.079
2026.819,0.080
2027.783,0.083
2028.747,0.083
2029.711,0.081
2030.676,0.078
2031.640,0.082
2032.604,0.089
2033.568,0.086
2034.532,0.079
2035.497,0.077
2036.461,0.088
2037.425,0.095
2038.389,0.084
2039.354,0.076
2040.318,0.080
2041.282,0.095
2042.246,0.094
2043.211,0.079
2044.175,0.078
2045.139,0.091
2046.103,0.108
2047.068,0.093
2048.032,0.080
2048.996,0.085
2049.960,0.105
2050.925,0.109
2051.889,0.091
2052.853,0.085
2053.817,0.097
2054.781,0.110
2055.746,0.110
2056.710,0.094
2057.674,0.097
2058.638,0.101
2059.603,0.117
2060.567,0.110
2061.531,0.098
2062.495,0.092
2063.459,0.103
2064.424,0.128
2065.388,0.114
2066.352,0.092
2067.316,0.088
2068.281,0.121
2069.245,0.137
2070.209,0.099
2071.173,0.080
2072.138,0.100
2073.102,0.149
2074.066,0.124
2075.030,0.083
2075.995,0.086
2076.959,0.138
2077.923,0.154
2078.887,0.099
2079.852,0.082
2080.816,0.116
2081.780,0.165
2082.744,0.130
2083.708,0.088
2084.673,0.098
2085.637,0.148
2086.601,0.162
2087.565,0.107
2088.530,0.091
2089.494,0.120
2090.458,0.176
2091.422,0.138
2092.386,0.092
2093.351,0.098
2094.315,0.164
2095.279,0.173
2096.243,0.104
2097.208,0.087
2098.172,0.140
2099.136,0.200
2100.100,0.136
2101.065,0.089
2102.029,0.118
2102.993,0.198
2103.958,0.166
2104.922,0.096
2105.886,0.108
2106.850,0.194
2107.814,0.202
2108.779,0.114
2109.743,0.105
2110.707,0.172
2111.671,0.218
2112.635,0.139
2113.600,0.107
2114.564,0.148
2115.528,0.221
2116.492,0.168
2117.457,0.111
2118.421,0.127
2119.385,0.216
2120.349,0.194
2121.314,0.114
2122.278,0.111
2123.242,0.203
2124.206,0.205
2125.171,0.114
2126.135,0.104
2127.099,0.185
2128.063,0.197
2129.028,0.114
2129.992,0.105
2130.956,0.181
2131.920,0.199
2132.885,0.119
2133.849,0.105
2134.813,0.160
2135.777,0.182
2136.741,0.121
2137.706,0.100
2138.670,0.133
2139.634,0.158
2140.598,0.115
2141.563,0.087
2142.527,0.082
2143.491,0.087
2144.455,0.087
2145.419,0.089
2146.384,0.135
2147.348,0.157
2148.312,0.105
2149.276,0.098
2150.241,0.165
2151.205,0.180
2152.169,0.111
2153.133,0.111
2154.098,0.186
2155.062,0.188
2156.026,0.112
2156.990,0.123
2157.955,0.204
2158.919,0.187
2159.883,0.108
2160.847,0.139
2161.812,0.222
2162.776,0.173
2163.740,0.104
2164.704,0.163
2165.668,0.227
2166.633,0.149
2167.597,0.109
2168.561,0.194
2169.525,0.218
2170.490,0.127
2171.454,0.126
2172.418,0.217
2173.382,0.191
2174.346,0.112
2175.311,0.153
2176.275,0.225
2177.239,0.154
2178.203,0.111
2179.168,0.186
2180.132,0.206
2181.096,0.120
2182.060,0.130
2183.025,0.208
2183.989,0.165
2184.953,0.106
2185.917,0.164
2186.882,0.197
2187.846,0.122
2188.810,0.119
2189.774,0.188
2190.739,0.155
2191.703,0.103
2192.667,0.151
2193.631,0.176
2194.595,0.112
2195.560,0.117
2196.524,0.170
2197.488,0.133
2198.452,0.099
2199.417,0.146
2200.381,0.148
2201.345,0.099
2202.309,0.120
2203.274,0.150
2204.238,0.107
2205.202,0.102
2206.166,0.139
2207.131,0.117
2208.095,0.093
2209.059,0.124
2210.023,0.121
2210.988,0.091
2211.952,0.110
2212.916,0.120
2213.880,0.091
2214.844,0.099
2215.809,0.115
2216.773,0.093
2217.737,0.092
2218.701,0.109
2219.666,0.093
2220.630,0.088
2221.594,0.102
2222.558,0.092
2223.522,0.085
2224.487,0.098
2225.451,0.090
2226.415,0.084
2227.379,0.093
2228.344,0.088
2229.308,0.082
2230.272,0.090
2231.236,0.086
2232.201,0.082
2233.165,0.087
2234.129,0.083
2235.093,0.080
2236.058,0.084
2237.022,0.081
2237.986,0.079
2238.950,0.081
2239.915,0.079
2240.879,0.079
2241.843,0.080
2242.807,0.078
2243.771,0.078
2244.736,0.079
2245.700,0.077
2246.664,0.077
2247.628,0.077
2248.593,0.076
2249.557,0.077
2250.521,0.076
2251.485,0.076
2252.449,0.076
2253.414,0.076
2254.378,0.076
2255.342,0.075
2256.306,0.075
2257.271,0.075
2258.235,0.075
2259.199,0.075
2260.163,0.075
2261.128,0.075
2262.092,0.076
2263.056,0.076
2264.020,0.076
2264.985,0.076
2265.949,0.076
2266.913,0.076
2267.877,0.076
2268.842,0.076
2269.806,0.076
2270.770,0.076
2271.734,0.076
2272.698,0.076
2273.663,0.076
2274.627,0.075
2275.591,0.075
2276.555,0.075
2277.520,0.075
2278.484,0.075
2279.448,0.074
2280.412,0.074
2281.376,0.074
2282.341,0.074
