# wavenumber,absorbance
2000.001,0.082
2000.061,0.081
2000.121,0.081
2000.182,0.081
2000.242,0.081
2000.302,0.081
2000.362,0.081
2000.423,0.081
2000.483,0.081
2000.543,0.081
2000.603,0.081
2000.664,0.081
2000.724,0.081
2000.784,0.081
2000.844,0.081
2000.905,0.081
2000.965,0.081
2001.025,0.081
2001.086,0.081
2001.146,0.081
2001.206,0.081
2001.266,0.081
2001.327,0.081
2001.387,0.081
2001.447,0.081
2001.507,0.081
2001.568,0.081
2001.628,0.081
2001.688,0.081
2001.748,0.081
2001.809,0.081
2001.869,0.081
2001.929,0.081
2001.990,0.081
2002.050,0.081
2002.110,0.081
2002.170,0.081
2002.231,0.081
2002.291,0.081
2002.351,0.081
2002.411,0.081
2002.472,0.081
2002.532,0.081
2002.592,0.081
2002.652,0.081
2002.713,0.081
2002.773,0.081
2002.833,0.081
2002.893,0.081
2002.954,0.081
2003.014,0.081
2003.074,0.082
2003.135,0.082
2003.195,0.083
2003.255,0.084
2003.315,0.085
2003.376,0.086
2003.436,0.086
2003.496,0.087
2003.556,0.087
2003.617,0.086
2003.677,0.086
2003.737,0.085
2003.797,0.084
2003.858,0.083
2003.918,0.083
2003.978,0.082
2004.038,0.082
2004.099,0.082
2004.159,0.082
2004.219,0.082
2004.280,0.082
2004.340,0.082
2004.400,0.082
2004.460,0.082
2004.521,0.081
2004.581,0.081
2004.641,0.081
2004.701,0.081
2004.762,0.081
2004.822,0.081
2004.882,0.081
2004.943,0.081
2005.003,0.081
2005.063,0.081
2005.123,0.081
2005.183,0.081
2005.244,0.081
2005.304,0.081
2005.364,0.081
2005.425,0.081
2005.485,0.081
2005.545,0.081
2005.605,0.081
2005.666,0.081
2005.726,0.081
2005.786,0.081
2005.846,0.081
2005.907,0.081
2005.967,0.081
2006.027,0.081
2006.088,0.081
2006.148,0.081
2006.208,0.081
2006.268,0.081
2006.328,0.081
2006.389,0.081
2006.449,0.081
2006.509,0.081
2006.570,0.081
2006.630,0.081
2006.690,0.081
2006.750,0.081
2006.811,0.081
2006.871,0.081
2006.931,0.081
2006.991,0.081
2007.052,0.081
2007.112,0.081
2007.172,0.081
2007.233,0.081
2007.293,0.081
2007.353,0.082
2007.413,0.082
2007.474,0.082
2007.534,0.083
2007.594,0.084
2007.654,0.084
2007.715,0.085
2007.775,0.085
2007.835,0.085
2007.895,0.085
2007.956,0.085
2008.016,0.084
2008.076,0.084
2008.136,0.084
2008.197,0.084
2008.257,0.085
2008.317,0.086
2008.378,0.087
2008.438,0.087
2008.498,0.087
2008.558,0.087
2008.619,0.086
2008.679,0.085
2008.739,0.084
2008.799,0.083
2008.860,0.082
2008.920,0.082
2008.980,0.081
2009.040,0.081
2009.101,0.081
2009.161,0.081
2009.221,0.081
2009.281,0.081
2009.342,0.081
2009.402,0.081
2009.462,0.081
2009.523,0.081
2009.583,0.081
2009.643,0.081
2009.703,0.081
2009.764,0.081
2009.824,0.081
2009.884,0.081
2009.944,0.081
2010.005,0.081
2010.065,0.081
2010.125,0.081
2010.185,0.081
2010.246,0.081
2010.306,0.081
