    nu /cm-1      S /cm  J"  J'
    3.845033  3.257e-24   0   1
    7.689920  2.533e-23   1   2
   11.534513  8.156e-23   2   3
   15.378665  1.809e-22   3   4
   19.222229  3.247e-22   4   5
   23.065059  5.058e-22   5   6
   26.907008  7.107e-22   6   7
   30.747928  9.209e-22   7   8
   34.587674  1.117e-21   8   9
   38.426098  1.281e-21   9  10
   42.263054  1.399e-21  10  11
   46.098394  1.463e-21  11  12
   49.931973  1.469e-21  12  13
   53.763644  1.423e-21  13  14
   57.593260  1.331e-21  14  15
   61.420675  1.207e-21  15  16
   65.245742  1.061e-21  16  17
   69.068315  9.058e-22  17  18
   72.888248  7.519e-22  18  19
   76.705394  6.075e-22  19  20
   80.519608  4.781e-22  20  21
   84.330743  3.668e-22  21  22
   88.138653  2.744e-22  22  23
   91.943193  2.003e-22  23  24
   95.744217  1.428e-22  24  25
   99.541579  9.943e-23  25  26
  103.335134  6.764e-23  26  27
  107.124736  4.498e-23  27  28
  110.910239  2.924e-23  28  29
  114.691499  1.859e-23  29  30
  118.468370  1.156e-23  30  31
  122.240707  7.037e-24  31  32
  126.008365  4.192e-24  32  33
  129.771201  2.443e-24  33  34
  133.529068  1.394e-24  34  35
  137.281823  7.790e-25  35  36
  141.029322  4.263e-25  36  37
  144.771419  2.285e-25  37  38
  148.507971  1.199e-25  38  39
  152.238834  6.167e-26  39  40
  155.963864  3.107e-26  40  41
  159.682917  1.534e-26  41  42
  163.395850  7.420e-27  42  43
  167.102520  3.517e-27  43  44
  170.802784  1.634e-27  44  45
  174.496498  7.441e-28  45  46
  178.183520  3.321e-28  46  47
  181.863706  1.454e-28  47  48
  185.536915  6.234e-29  48  49
  189.203004  2.621e-29  49  50
  192.861831  1.081e-29  50  51
  196.513254  4.370e-30  51  52
  200.157132  1.732e-30  52  53
  203.793322  6.732e-31  53  54
  207.421683  2.566e-31  54  55
  211.042074  9.586e-32  55  56
  214.654353  3.512e-32  56  57
  218.258381  1.262e-32  57  58
  221.854016  4.447e-33  58  59
  225.441118  1.537e-33  59  60
  229.019547  5.206e-34  60  61
  232.589162  1.730e-34  61  62
  236.149823  5.635e-35  62  63
  239.701392  1.800e-35  63  64
  243.243728  5.638e-36  64  65
  246.776692  1.732e-36  65  66
  250.300145  5.210e-37  66  67
  253.813948  1.538e-37  67  68
  257.317962  4.448e-38  68  69
  260.812050  1.261e-38  69  70
  264.296072  3.504e-39  70  71
  267.769892  9.535e-40  71  72
  271.233369  2.543e-40  72  73
  274.686368  6.638e-41  73  74
  278.128751  1.697e-41  74  75
  281.560380  4.248e-42  75  76
  284.981119  1.040e-42  76  77
  288.390830  2.492e-43  77  78
  291.789378  5.831e-44  78  79
  295.176625  1.333e-44  79  80
  298.552435  2.977e-45  80  81
