Energy(1/cm),Absorbance
3.528341e+002,-6.416634e-004
3.528492e+002,-4.549570e-004
3.528642e+002,-3.315120e-004
3.528793e+002,-2.704883e-004
3.528943e+002,-2.411820e-004
3.529094e+002,-1.976327e-004
3.529245e+002,-1.004177e-004
3.529395e+002,6.189880e-005
3.529546e+002,2.626004e-004
3.529697e+002,4.434272e-004
3.529847e+002,5.334874e-004
3.529998e+002,4.770939e-004
3.530149e+002,2.566658e-004
3.530299e+002,-9.922512e-005
3.530450e+002,-5.247911e-004
3.530601e+002,-9.461383e-004
3.530751e+002,-1.307850e-003
3.530902e+002,-1.592382e-003
3.531053e+002,-1.825785e-003
3.531203e+002,-2.059426e-003
3.531354e+002,-2.343598e-003
3.531505e+002,-2.701646e-003
3.531655e+002,-3.115459e-003
3.531806e+002,-3.532987e-003
3.531957e+002,-3.885130e-003
3.532107e+002,-4.111102e-003
3.532258e+002,-4.181007e-003
3.532409e+002,-4.100698e-003
3.532559e+002,-3.905720e-003
3.532710e+002,-3.644321e-003
3.532861e+002,-3.357811e-003
3.533011e+002,-3.072691e-003
3.533162e+002,-2.795482e-003
3.533313e+002,-2.519315e-003
3.533463e+002,-2.234566e-003
3.533614e+002,-1.937393e-003
3.533765e+002,-1.632622e-003
3.533915e+002,-1.331668e-003
3.534066e+002,-1.048519e-003
3.534217e+002,-7.972679e-004
3.534367e+002,-5.892865e-004
3.534518e+002,-4.316545e-004
3.534669e+002,-3.293600e-004
3.534819e+002,-2.836010e-004
3.534970e+002,-2.915479e-004
3.535121e+002,-3.421729e-004
3.535271e+002,-4.169242e-004
3.535422e+002,-4.942442e-004
3.535573e+002,-5.521590e-004
3.535723e+002,-5.740984e-004
3.535874e+002,-5.538135e-004
3.536024e+002,-4.959652e-004
3.536175e+002,-4.125216e-004
3.536326e+002,-3.185994e-004
3.536476e+002,-2.230673e-004
3.536627e+002,-1.291373e-004
3.536778e+002,-3.117801e-005
3.536928e+002,8.158367e-005
3.537079e+002,2.165849e-004
3.537230e+002,3.713262e-004
3.537380e+002,5.284780e-004
3.537531e+002,6.554881e-004
3.537682e+002,7.089842e-004
3.537833e+002,6.427124e-004
3.537983e+002,4.236596e-004
3.538134e+002,4.367286e-005
3.538285e+002,-4.724663e-004
3.538435e+002,-1.067326e-003
3.538586e+002,-1.661967e-003
3.538737e+002,-2.170348e-003
3.538887e+002,-2.519348e-003
3.539038e+002,-2.666015e-003
3.539189e+002,-2.601103e-003
3.539339e+002,-2.347091e-003
3.539490e+002,-1.948312e-003
3.539641e+002,-1.456645e-003
3.539791e+002,-9.235564e-004
3.539942e+002,-3.934541e-004
3.540092e+002,9.507196e-005
3.540243e+002,5.049248e-004
3.540394e+002,8.047758e-004
3.540544e+002,9.753013e-004
3.540695e+002,1.016415e-003
3.540846e+002,9.528529e-004
3.540996e+002,8.316649e-004
3.541147e+002,7.112410e-004
3.541298e+002,6.431770e-004
3.541448e+002,6.524020e-004
3.541599e+002,7.291962e-004
3.541750e+002,8.342876e-004
3.541900e+002,9.137371e-004
3.542051e+002,9.204775e-004
3.542202e+002,8.322957e-004
3.542352e+002,6.561850e-004
3.542503e+002,4.198123e-004
3.542654e+002,1.520456e-004
3.542804e+002,-1.335428e-004
3.542955e+002,-4.464504e-004
3.543106e+002,-8.115554e-004
3.543256e+002,-1.252316e-003
3.543407e+002,-1.770251e-003
3.543558e+002,-2.330777e-003
3.543708e+002,-2.865270e-003
3.543859e+002,-3.290667e-003
3.544010e+002,-3.531344e-003
3.544160e+002,-3.543570e-003
3.544311e+002,-3.328844e-003
3.544462e+002,-2.929451e-003
3.544612e+002,-2.415666e-003
3.544763e+002,-1.866928e-003
3.544914e+002,-1.355715e-003
3.545064e+002,-9.423031e-004
3.545215e+002,-6.735894e-004
3.545366e+002,-5.828341e-004
3.545516e+002,-6.887410e-004
3.545667e+002,-9.929845e-004
3.545818e+002,-1.471901e-003
3.545968e+002,-2.072848e-003
3.546119e+002,-2.719163e-003
3.546270e+002,-3.323122e-003
3.546420e+002,-3.804536e-003
3.546571e+002,-4.108542e-003
3.546721e+002,-4.216284e-003
3.546872e+002,-4.145039e-003
3.547023e+002,-3.937046e-003
3.547173e+002,-3.643500e-003
3.547324e+002,-3.308293e-003
3.547475e+002,-2.962065e-003
3.547625e+002,-2.618427e-003
3.547776e+002,-2.279725e-003
3.547927e+002,-1.943397e-003
3.548077e+002,-1.605587e-003
3.548228e+002,-1.263714e-003
3.548379e+002,-9.133727e-004
3.548529e+002,-5.452427e-004
3.548680e+002,-1.497069e-004
3.548831e+002,2.796419e-004
3.548981e+002,7.405473e-004
3.549132e+002,1.215399e-003
3.549283e+002,1.669416e-003
3.549434e+002,2.057553e-003
3.549584e+002,2.334326e-003
3.549735e+002,2.466597e-003
3.549886e+002,2.442772e-003
3.550036e+002,2.277965e-003
3.550187e+002,2.012279e-003
3.550338e+002,1.699485e-003
3.550488e+002,1.392269e-003
3.550639e+002,1.129151e-003
3.550789e+002,9.247941e-004
3.550940e+002,7.706521e-004
3.551091e+002,6.389627e-004
3.551241e+002,4.988211e-004
3.551392e+002,3.305052e-004
3.551543e+002,1.341804e-004
3.551693e+002,-6.709125e-005
3.551844e+002,-2.352542e-004
3.551995e+002,-3.308168e-004
3.552145e+002,-3.286316e-004
3.552296e+002,-2.307835e-004
3.552447e+002,-6.487160e-005
3.552597e+002,1.255962e-004
3.552748e+002,2.963525e-004
3.552899e+002,4.168274e-004
3.553049e+002,4.811076e-004
3.553200e+002,5.066166e-004
3.553351e+002,5.240990e-004
3.553501e+002,5.625495e-004
3.553652e+002,6.391619e-004
3.553802e+002,7.546535e-004
3.553953e+002,8.960730e-004
3.554104e+002,1.045543e-003
3.554255e+002,1.190679e-003
3.554405e+002,1.328418e-003
3.554556e+002,1.462910e-003
3.554707e+002,1.596546e-003
3.554857e+002,1.724401e-003
3.555008e+002,1.829867e-003
3.555159e+002,1.885870e-003
3.555309e+002,1.863175e-003
3.555460e+002,1.740469e-003
3.555611e+002,1.510022e-003
3.555761e+002,1.184333e-003
3.555912e+002,7.898381e-004
3.556063e+002,3.639974e-004
3.556213e+002,-4.996326e-005
3.556364e+002,-4.118596e-004
3.556515e+002,-6.876493e-004
